wiki_name	yelp_name	url	reviews	rating	street	city	zip	phone	website
Hayden Planetarium	Hayden Planetarium	/biz/hayden-planetarium-new-york-2	18	4.5	175 Central Park W	New York	10024	(212) 769-5000	http://haydenplanetarium.org/
Bronx Zoo	Bronx Zoo	/biz/bronx-zoo-bronx	167	4.5	2300 Southern Blvd	Bronx	10460	(718) 220-5100	http://www.bronxzoo.com
Brooklyn Botanic Garden	Brooklyn Botanic Garden	/biz/brooklyn-botanic-garden-brooklyn-2	171	4.5	1000 Washington Ave	Brooklyn	11225	(718) 623-7200	http://www.bbg.org
Central Park Zoo	Central Park Zoo	/biz/central-park-zoo-new-york-6	91	4	830 5th Ave	New York	10021	(212) 439-6500	http://www.centralparkzoo.com/
Jamaica Bay Wildlife Refuge	Jamaica Bay Wildlife Refuge	/biz/jamaica-bay-wildlife-refuge-queens	4	5	Cross Bay Blvd	Queens	11693	(718) 318-4340	http://www.nyharborparks.org/visit/jaba...
New York Aquarium	The New York Aquarium	/biz/the-new-york-aquarium-brooklyn	82	3	Boardwalk & W 8th St	Brooklyn	11201	(718) 265-3400	http://www.nyaquarium.com
New York Botanical Garden	New York Botanical Garden	/biz/new-york-botanical-garden-bronx	62	4.5	2900 Southern Blvd	Bronx	10458	(718) 817-8700	http://www.nybg.org
New York Hall of Science	New York Hall of Science	/biz/new-york-hall-of-science-corona	24	4.5	4701 111th St	Corona	11368	(718) 699-0005	http://www.nyscience.org/
Prospect Park Zoo	Prospect Park Zoo	/biz/prospect-park-zoo-brooklyn	31	4	450 Flatbush Ave	Brooklyn	11225	(718) 399-7339	http://www.prospectparkzoo.org
Queens Botanical Garden	Queens Botanical Garden	/biz/queens-botanical-garden-flushing	15	3.5	4350 Main St	Flushing	11355	(718) 886-3800	http://www.queensbotanical.org
Queens Zoo	Queens Zoo	/biz/queens-zoo-corona	14	4	5351 111th St	Corona	11368	(718) 271-1500	http://www.queenszoo.com
Staten Island Zoo	Staten Island Zoo	/biz/staten-island-zoo-staten-island	5	4	614 Broadway	Staten Island	10310	(718) 442-3100	http://www.statenislandzoo.org
Staten Island Botanical Garden	Staten Island Botanical Garden Inc	/biz/staten-island-botanical-garden-inc-staten-island	2	4	914 Richmond Ter	Staten Island	10301	(718) 442-3645	
The New York Chinese Scholar's Garden	The New York Chinese Scholar's Garden	/biz/the-new-york-chinese-scholars-garden-staten-island	8	5	1000 Richmond Ter	Staten Island	10301	(718) 273-8200	http://www.snug-harbor.org/chinese.html
Wave Hill	Wave Hill	/biz/wave-hill-bronx-2	36	4.5	675 W 252nd St	Bronx	10462	(718) 549-3200	http://www.wavehill.org
Brooklyn Children's Museum	Brooklyn Children's Museum	/biz/brooklyn-childrens-museum-brooklyn	19	4.5	145 Brooklyn Avenueat Brower Park	Brooklyn	11213	(718) 735-4400	http://www.brooklynkids.org
Children's Museum of the Arts	Children's Museum of the Arts	/biz/childrens-museum-of-the-arts-new-york	9	3.5	182 Lafayette StFl 4	New York	10013	(212) 274-0986	http://www.cmany.org
Children's Museum of Manhattan	Children's Museum of Manhattan	/biz/childrens-museum-of-manhattan-new-york	19	4	212 W 83rd St	New York	10024	(212) 721-1223	http://www.cmom.org
Jewish Children's Museum	The Jewish Children's Museum - CLOSED	/biz/the-jewish-childrens-museum-brooklyn			792 Eastern Parkway	Brooklyn	11213	(718) 467-0600	
Staten Island Children's Museum	Staten Island Childrens Museum	/biz/staten-island-childrens-museum-staten-island	6	4.5	1000 Richmond Ter	Staten Island	10301	(718) 273-2060	http://www.statenislandkids.org/
