name	wikipedia_url	yelp_url	review_count	rating	street	city	zip	fulladdress	phone	website	suggested	fee	free	membership	Sunday	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	effective_hours	closed_until	twitter_url	facebook_url	youtube_url	blog_url	flickr_url	photography	lat	lng
Brooklyn Children's Museum	http://en.wikipedia.org/wiki/Brooklyn_Historical_Society	http://yelp.com/biz/brooklyn-childrens-museum-brooklyn	19	4.5	145 Brooklyn Avenue	Brooklyn	11213	145 Brooklyn Avenue, Brooklyn 11213	(718) 735-4400	http://www.brooklynkids.org		7.5	4:1700-1930;3|0:1400-1700;2,4	85	1000-1700		1000-1700	1000-1700	1000-1700	1000-1700	1000-1700	0101-0228		http://www.twitter.com/brooklynkids	http://www.facebook.com/pages/Brooklyn-NY/Brooklyn-Childrens-Museum/165646722256					40.674406	-73.943932
New York Transit Museum	http://en.wikipedia.org/wiki/New_York_Transit_Museum	http://yelp.com/biz/new-york-transit-museum-brooklyn	86	4.5	130 Livingston Street	Brooklyn	11201	130 Livingston Street, Brooklyn 11201	(718) 694-1600	http://www.mta.info/mta/museum		6		40	1200-1700		1000-1600	1000-1600	1000-1600	1000-1600	1200-1700									40.6903303	-73.9896472
Brooklyn Historical Society	http://en.wikipedia.org/wiki/Brooklyn_Historical_Society	http://yelp.com/biz/brooklyn-historical-society-brooklyn	2	4	128 Pierrepont St	Brooklyn	11201	128 Pierrepont St, Brooklyn 11201	(718) 222-4111	http://www.brooklynhistory.org/default/index.html		6		50	1200-1700			1200-1700	1200-1700	1200-1700	1000-1700									40.694804	-73.992407
Williamsburg Art & Historical Center	http://en.wikipedia.org/wiki/Williamsburg_Art_%26_Historical_Center	http://yelp.com/biz/williamsburg-art-and-historical-center-brooklyn			135 Broadway	Brooklyn	11211	135 Broadway, Brooklyn 11211	(718) 486-7372	http://www.wahcenter.net/		0			1200-1800			1300-1800	1300-1800	1300-1800	1200-1800			http://twitter.com/WAHCenter	http://www.facebook.com/pages/WAH-Center-Williamsburg-Art-Historical-Center/111550628875041?ref=mf&v=wall	http://www.youtube.com/wahcenter				40.7102044	-73.9630882
P.S. 1 Contemporary Art Center	http://en.wikipedia.org/wiki/P.S._1_Contemporary_Art_Center	http://yelp.com/biz/moma-ps1-long-island-city	114	4	22-25 Jackson Ave	Queens	11101	22-25 Jackson Ave, Queens 11101	(718) 784-2084	http://www.ps1.org	TRUE	10			1200-1800	1200-1800			1200-1800	1200-1800	1200-1800									40.745469	-73.947108
Fisher Landau Center	http://en.wikipedia.org/wiki/Fisher_Landau_Center	http://yelp.com/biz/fisher-landau-center-for-art-long-island-city			38-27 30th St	Queens	11101	38-27 30th St, Queens 11101	(718) 937-0727	http://www.flcart.org		0			1200-1700	1200-1700			1200-1700	1200-1700	1200-1700									40.753485	-73.933082
Socrates Sculpture Park	http://en.wikipedia.org/wiki/Socrates_Sculpture_Park	http://yelp.com/biz/socrates-sculpture-park-astoria	56	4	32-01 Vernon Blvd	Queens	11106	32-01 Vernon Blvd, Queens 11106	(718) 626-1533	http://www.socratessculpturepark.org/		0			1000-1800	1000-1800	1000-1800	1000-1800	1000-1800	1000-1800	1000-1800	1001-0430			http://www.facebook.com/pages/Long-Island-City-NY/Socrates-Sculpture-Park/89060835380?ref=ts					40.7676172	-73.9363198
New York City Police Museum	http://en.wikipedia.org/wiki/New_York_City_Police_Museum	http://yelp.com/biz/new-york-city-police-museum-new-york	18	3.5	100 Old Slip	Manhattan	10005	100 Old Slip, Manhattan 10005	(212) 480-3100	http://www.nycpm.org		8		30	1200-1700	1000-1700	1000-1700	1000-1700	1000-1700	1000-1700	1000-1700			http://twitter.com/nycpolicemuseum	http://www.facebook.com/home.php?#!/pages/New-York-NY/The-New-York-City-Police-Museum/301626516789					40.7037084	-74.0082663
National Museum of the American Indian	http://en.wikipedia.org/wiki/National_Museum_of_the_American_Indian	http://yelp.com/biz/national-museum-of-the-american-indian-new-york	26	4	1 Bowling Green	Manhattan	10004	1 Bowling Green, Manhattan 10004	(212) 514-3700	http://www.nmai.si.edu/subpage.cfm?subpage=visitor&second=ny		0	25		1000-1700	1000-1700	1000-1700	1000-1700	1000-1700	1000-1700	1000-1700			http://twitter.com/SmithsonianNMAI	http://www.facebook.com/NationalMuseumoftheAmericanIndianinDC	http://www.youtube.com/user/SmithsonianNMAI	http://blog.nmai.si.edu/	http://www.flickr.com/photos/smithsonian/sets/72157604594722005/		40.70444	-74.013723
Museum of Jewish Heritage	http://en.wikipedia.org/wiki/Museum_of_Jewish_Heritage	http://yelp.com/biz/museum-of-jewish-heritage-new-york-2	17	4.5	36 Battery Pl	Manhattan	10004	36 Battery Pl, Manhattan 10004	(212) 968-1800	http://www.mjhnyc.org/		12	3:1600-2000	54	1000-1745	1000-1745	1000-1745	1000-2000	1000-1745	1000-1500				http://twitter.com/mjhnews	http://www.facebook.com/MuseumofJewishHeritage	http://www.youtube.com/MuseumJewishHeritage			No	40.705986	-74.018208
Museum of American Finance	http://en.wikipedia.org/wiki/Museum_of_American_Finance	http://yelp.com/biz/the-museum-of-american-finance-new-york	4	4	48 Wall St	Manhattan	10005	48 Wall St, Manhattan 10005	(212) 908-4110	http://www.moaf.org		8	2:1000-1100|3:1000-1100|4:1000-1100|5:1000-1100|6:1000-1100	55			1000-1600	1000-1600	1000-1600	1000-1600	1000-1600			http://twitter.com/financemuseum	http://www.facebook.com/pages/New-York-NY/Museum-of-American-Finance/45628573903		http://financemuseum.wordpress.com/	http://www.flickr.com/photos/financemuseum		40.706189	-74.009174
Skyscraper Museum	http://en.wikipedia.org/wiki/Skyscraper_Museum	http://yelp.com/biz/skyscraper-museum-new-york	12	2	39 Battery Place	Manhattan	10280	39 Battery Place, Manhattan 10280	(212) 968-1961	http://www.skyscraper.org		5			1200-1800			1200-1800	1200-1800	1200-1800	1200-1800									40.7065521	-74.0177589
South Street Seaport Museum	http://en.wikipedia.org/wiki/South_Street_Seaport_Museum	http://yelp.com/biz/south-street-seaport-museum-new-york-2	2	2.5	12 Fulton St	Manhattan	10038	12 Fulton St, Manhattan 10038	(212) 748-8786	http://www.southstreetseaportmuseum.org		15		60	1000-1700				1000-1700	1000-1700	1000-1700	0101-0331								40.7065753	-74.0034144
Fraunces Tavern Museum	http://en.wikipedia.org/wiki/Fraunces_Tavern_Museum	http://yelp.com/biz/fraunces-tavern-museum-new-york	3	5	54 Pearl St Fl 2	Manhattan	10004	54 Pearl St Fl 2, Manhattan 10004	(212) 425-1778	http://www.frauncestavernmuseum.org/		10		50		1200-1700	1200-1700	1200-1700	1200-1700	1200-1700	1200-1700				http://www.facebook.com/pages/New-York-NY/Fraunces-TavernR-Museum/189292637757	http://www.youtube.com/user/FrauncesTavernMuseum				40.7076393	-74.0079106
Museum at Eldridge Street	http://en.wikipedia.org/wiki/Museum_at_Eldridge_Street	http://yelp.com/biz/the-museum-at-eldridge-street-new-york	7	4.5	12 Eldridge St	Manhattan	10002	12 Eldridge St, Manhattan 10002	(212) 219-0888	http://www.eldridgestreet.org		10	1:1000-1700		1000-1700	1000-1700	1000-1700	1000-1700	1000-1700	1000-1500				http://twitter.com/eldridgestreet	http://www.facebook.com/home.php#!/pages/New-York-NY/Museum-at-Eldridge-Street/302549795672?ref=search&sid=515171092.3681832138..1		http://www.eldridgestreet.org/blog/	http://www.flickr.com/groups/museum_at_eldridge_street_families/		40.7147239	-73.993444
Museum of Chinese in America	http://en.wikipedia.org/wiki/Museum_of_Chinese_in_America	http://yelp.com/biz/museum-of-chinese-in-america-new-york	26	4	215 Centre St	Manhattan	10013	215 Centre St, Manhattan 10013	(212) 619-4785	http://www.mocanyc.org/		7	4:1100-2100	60	1000-1700	1100-1700			1100-2100	1000-1700	1000-1700			http://twitter.com/mocamuseum			http://blogmoca.wordpress.com/			40.7194129	-73.9988403
New Museum of Contemporary Art	http://en.wikipedia.org/wiki/New_Museum_of_Contemporary_Art	http://yelp.com/biz/new-museum-of-contemporary-art-new-york-2	90	3	235 Bowery St	Manhattan	10002	235 Bowery St, Manhattan 10002	(212) 219-1222	http://www.newmuseum.org		12	4:1900-2100	65	1100-1800			1100-1800	1100-2100	1100-1800	1100-1800									40.722419	-73.993124
The Drawing Center	http://en.wikipedia.org/wiki/The_Drawing_Center	http://yelp.com/biz/the-drawing-center-new-york	2	4.5	35 Wooster St	Manhattan	10013	35 Wooster St, Manhattan 10013	(212) 219-2166	http://www.drawingcenter.org/		0		35	1200-1800			1200-1800	1200-2000	1200-1800	1200-1800				http://www.facebook.com/pages/New-York-NY/The-Drawing-Center/73723368486					40.722475	-74.003013
Museum of Comic and Cartoon Art	http://en.wikipedia.org/wiki/Museum_of_Comic_and_Cartoon_Art	http://yelp.com/biz/museum-of-comic-and-cartoon-art-new-york-2	14	4	594 Broadway Ste 401	Manhattan	10012	594 Broadway Ste 401, Manhattan 10012	(212) 254-3511	http://www.moccany.org		5		35	1200-1700		1200-1700	1200-1700	1200-1700	1200-1700	1200-1700			http://twitter.com/#!/MoCCAnyc	http://www.facebook.com/group.php?gid=32642984894					40.7250829	-73.9970212
New York City Fire Museum	http://en.wikipedia.org/wiki/New_York_City_Fire_Museum	http://yelp.com/biz/nyc-fire-museum-new-york	9	4.5	278 Spring Street	Manhattan	10013	278 Spring Street, Manhattan 10013	(212) 691-1303	http://www.nycfiremuseum.org	TRUE	7		25	1000-1600		1000-1700	1000-1700	1000-1700	1000-1700	1000-1700			http://www.twitter.com/fdnymuseum	http://www.facebook.com/pages/New-York-City-Fire-Museum/182401020492					40.725568	-74.006937
Merchant's House Museum	http://en.wikipedia.org/wiki/Merchant%27s_House_Museum	http://yelp.com/biz/merchants-house-museum-new-york	15	4	29 E 4th St	Manhattan	10003	29 E 4th St, Manhattan 10003	(212) 777-1089	http://www.merchantshouse.org		10			1200-1700	1200-1700			1200-1700	1200-1700	1200-1700			http://twitter.com/MerchantsHouse	http://www.merchantshouse.org/assets/graphics/layout/FaceBook_32x32.png			http://www.flickr.com/photos/16960306@N06/show/		40.7274396	-73.9924309
Forbes Galleries	http://en.wikipedia.org/wiki/Forbes_Galleries	http://yelp.com/biz/forbes-magazine-galleries-new-york	6	3.5	60 Fifth Avenue	Manhattan	10079	60 Fifth Avenue, Manhattan 10079	(212) 206-5549	http://www.forbesgalleries.com		0					1000-1600	1000-1600	1000-1600	1000-1600	1000-1600								No	40.7349026	-73.9944799
Parsons The New School for Design	http://en.wikipedia.org/wiki/Parsons_The_New_School_for_Design	http://yelp.com/biz/parsons-the-new-school-for-design-new-york-4	10	3.5	66 Fifth Ave	Manhattan	10003	66 Fifth Ave, Manhattan 10003	(212) 229-5459	http://www.newschool.edu/parsons/galleries-exhibition-centers/		0			1200-1800	1200-1800	1200-1800	1200-1800	1200-2000	1200-1800	1200-1800									40.7355201	-73.9935627
Yeshiva University Museum	http://en.wikipedia.org/wiki/Yeshiva_University_Museum	http://yelp.com/biz/yeshiva-university-museum-manhattan	1	4	15 W 16th St	Manhattan	10011	15 W 16th St, Manhattan 10011	(212) 294-8330	http://www.cjh.org/p/42		8	1:1530-2000|3:1300-2000|5:1100-1430		1100-1700	1530-2000	1100-1700	1100-2000	1100-1700	1130-1430										40.7380256	-73.9938436
Museum at Fashion Institute of Technology	http://en.wikipedia.org/wiki/Fashion_Institute_of_Technology	http://yelp.com/biz/fashion-institute-of-technology-new-york-2	16	3.5	27th St & Seventh Ave	Manhattan	10001	27th St & Seventh Ave, Manhattan 10001	(212) 217-7999	http://fitnyc.edu/3662.asp		0		425			1200-2000	1200-2000	1200-2000	1200-2000	1000-1700				http://www.facebook.com/TheMuseumAtFIT					40.7466299	-73.9938373
Chelsea Art Museum	http://en.wikipedia.org/wiki/Chelsea_Art_Museum	http://yelp.com/biz/the-chelsea-art-museum-new-york	10	4	556 West 22nd Street	Manhattan	10011	556 West 22nd Street, Manhattan 10011	(212) 255-0719	http://chelseaartmuseum.org		8		50			1100-1800	1100-1800	1100-2000	1100-1800	1100-1800			http://twitter.com/ChelseaArtMus	http://www.facebook.com/pages/New-York-NY/Chelsea-Art-Museum/7064548163					40.748184	-74.007211
Japan Society	http://en.wikipedia.org/wiki/Japan_Society_(New_York)	http://yelp.com/biz/japan-society-new-york-2	18	4	333 E 47th St	Manhattan	10017	333 E 47th St, Manhattan 10017	(212) 832-1155	http://www.japansociety.org				60	1100-1700		1100-1800	1100-1800	1100-1800	1100-2100	1100-1700			http://twitter.com/japansociety	http://www.facebook.com/japansociety	http://www.youtube.com/user/JapanSocietyNYC	http://japansocietyny.blogspot.com/			40.752418	-73.968469
International Center of Photography	http://en.wikipedia.org/wiki/International_Center_of_Photography	http://yelp.com/biz/international-center-of-photography-new-york	44	3.5	1133 Ave of the Americas	Manhattan	10036	1133 Ave of the Americas, Manhattan 10036	(212) 857-0000	http://www.icp.org		12	5:1700-2000	75	1000-1800		1000-1800	1000-1800	1000-1800	1000-2000	1000-1800			http://twitter.com/icpmuseum	http://www.facebook.com/internationalcenterofphotography					40.756017	-73.983845
Ripley's Believe It or Not!	http://en.wikipedia.org/wiki/Ripley%27s_Believe_It_or_Not!	http://yelp.com/biz/ripleys-believe-it-or-not-new-york-2	39	3.5	234 W 42nd Street	Manhattan	10036	234 W 42nd Street, Manhattan 10036	(212) 398-3133	http://www.ripleysnewyork.com		27.72			0900-2300	0900-2300	0900-2300	0900-2300	0900-2500	0900-2500	0900-2500			http://www.twitter.com/ripleysNYC	http://www.facebook.com/RipleysNY				Yes	40.756392	-73.988307
Discovery Times Square Exposition	http://en.wikipedia.org/wiki/Discovery_Times_Square_Exposition	http://yelp.com/biz/discovery-times-square-exposition-new-york	37	3	226 West 44th St	Manhattan	10036	226 West 44th St, Manhattan 10036	(888) 988-8692	http://discoverytsx.com/nyc/		25				1300-1800	1300-1800	1300-1800	1300-1800	1300-1800	1300-1800			http://twitter.com/DTSX	http://www.facebook.com/DiscoveryTSX					40.7578578	-73.9874618
The Paley Center for Media	http://en.wikipedia.org/wiki/The_Paley_Center_for_Media	http://yelp.com/biz/paley-center-for-media-new-york	23	3.5	25 W 52nd St	Manhattan	10019	25 W 52nd St, Manhattan 10019	(212) 621-6880	http://www.paleycenter.org/visit-visitny		10		70				1200-1800	1200-2000	1200-1800	1200-1800			http://twitter.com/paleycenter	http://www.facebook.com/PaleyCenterNY	http://www.youtube.com/paleycenter	http://www.paleycenter.org/blogs			40.7604709	-73.9778754
Sony Wonder Technology Lab	http://en.wikipedia.org/wiki/Sony_Building_(New_York)	http://yelp.com/biz/sony-wonder-technology-lab-new-york	34	3	550 Madison Ave	Manhattan	10022	550 Madison Ave, Manhattan 10022	(212) 833-8100	http://wondertechlab.sony.com		0			1200-1700		1000-1700	1000-1700	1000-1700	1000-1700	1000-1700									40.761239	-73.97312
American Folk Art Museum	http://en.wikipedia.org/wiki/American_Folk_Art_Museum	http://yelp.com/biz/american-folk-art-museum-new-york	31	4	45 W 53rd Street	Manhattan	10019	45 W 53rd Street, Manhattan 10019	(212) 265-1040	http://www.folkartmuseum.org		12	5:1730-1930	70	1030-1730		1030-1730	1030-1730	1030-1730	1030-1930	1030-1730			http://twitter.com/FolkArtMuseum	http://www.facebook.com/AmericanFolkArtMuseum	http://www.youtube.com/AFAMuseum				40.7616385	-73.9780908
China Institute in America	http://en.wikipedia.org/wiki/China_Institute_in_America	http://yelp.com/biz/china-institute-in-america-new-york	4	3.5	125 E 65th St	Manhattan	10021	125 E 65th St, Manhattan 10021	(212) 744-8181	http://www.chinainstitute.org/gallery/		7	2:1800-2000|4:1800-2000	55	1000-1700	1000-1700	1000-2000	1000-1700	1000-2000	1000-1700	1000-1700									40.766389	-73.9659538
Museum of Arts & Design	http://en.wikipedia.org/wiki/Museum_of_Arts_%26_Design	http://yelp.com/biz/museum-of-arts-and-design-new-york-2	42	4	2 Columbus Cir	Manhattan	10019	2 Columbus Cir, Manhattan 10019	(212) 299-7777	http://madmuseum.org		15	4:1800-2100	75	1100-1800		1100-1800	1100-1800	1100-2100	1100-1800	1100-1800								Yes	40.7673802	-73.9819235
New-York Historical Society	http://en.wikipedia.org/wiki/New-York_Historical_Society	http://yelp.com/biz/new-york-historical-society-new-york-2	26	4.5	170 Central Park W	Manhattan	10024	170 Central Park W, Manhattan 10024	(212) 873-3400	http://www.nyhistory.org		12		65									20111110							40.779128	-73.974059
Neue Galerie	http://en.wikipedia.org/wiki/Neue_Galerie	http://yelp.com/biz/neue-galerie-new-york-new-york	55	4	1048 Fifth Ave	Manhattan	10028	1048 Fifth Ave, Manhattan 10028	(212) 628-6200	http://www.neuegalerie.org		15	5:1800-2000;1	275	1100-1800	1100-1800			1100-1800	1100-1800	1100-1800									40.781219	-73.960228
Hayden Planetarium	http://en.wikipedia.org/wiki/Hayden_Planetarium	http://yelp.com/biz/hayden-planetarium-new-york-2	18	4.5	175 Central Park W	Manhattan	10024	175 Central Park W, Manhattan 10024	(212) 769-5000	http://haydenplanetarium.org/	TRUE	16			1000-1745	1000-1745	1000-1745	1000-1745	1000-1745	1000-1745	1000-1745						http://www.haydenplanetarium.org/blog			40.7836575	-73.9705305
The Jewish Museum		http://yelp.com/biz/the-jewish-museum-new-york	31	4	1109 Fifth Ave	Manhattan	10128	1109 Fifth Ave, Manhattan 10128	(212) 423-3200	http://www.thejewishmuseum.org		12	6:1100-1745	75	1100-1745	1100-1745	1100-1745		1100-1745	1100-1600	1100-1745									40.785383	-73.957622
Children's Museum of Manhattan	http://en.wikipedia.org/wiki/Children%27s_Museum_of_Manhattan	http://yelp.com/biz/childrens-museum-of-manhattan-new-york	19	4	212 W 83rd St	Manhattan	10024	212 W 83rd St, Manhattan 10024	(212) 721-1223	http://www.cmom.org		10	5:1700-2000,1	210	1000-1700		1000-1700	1000-1700	1000-1700	1000-1700	1000-1900	0925-0508			http://www.facebook.com/pages/New-York-NY/Childrens-Museum-of-Manhattan/172122241940?ref=ts			http://www.flickr.com/photos/47609350@N03/		40.7859136	-73.9771138
Museum of the City of New York	http://en.wikipedia.org/wiki/Museum_of_the_City_of_New_York	http://yelp.com/biz/museum-of-the-city-of-new-york-new-york	46	4	1220 5th Ave	Manhattan	10029	1220 5th Ave, Manhattan 10029	(212) 534-1672	http://www.mcny.org	TRUE	10			1000-1700		1000-1700	1000-1700	1000-1700	1000-1700	1000-1700				http://www.facebook.com/pages/New-York-NY/Museum-of-the-City-of-New-York/24425672689	http://www.youtube.com/watch?v=zRTtJsMGT7M				40.792495	-73.951905
Nicholas Roerich Museum	http://en.wikipedia.org/wiki/Nicholas_Roerich_Museum	http://yelp.com/biz/nicholas-roerich-museum-new-york	2	5	319 W 107th Street	Manhattan	10025	319 W 107th Street, Manhattan 10025	(212) 864-7752	http://www.roerich.org	TRUE	5			1400-1700		1400-1700	1400-1700	1400-1700	1400-1700	1400-1700									40.802956	-73.968976
Studio Museum in Harlem	http://en.wikipedia.org/wiki/Studio_Museum_in_Harlem	http://yelp.com/biz/studio-museum-harlem-new-york	10	4	144 W 125th St	Manhattan	10027	144 W 125th St, Manhattan 10027	(212) 864-4500	http://www.studiomuseum.org	TRUE	7	0:1200-1800	50	1200-1800				1200-2100	1200-2100	1000-1800						http://www.studiomuseum.org/studio-blog/			40.808241	-73.947723
Hispanic Society of America	http://en.wikipedia.org/wiki/Hispanic_Society_of_America	http://yelp.com/biz/hispanic-society-of-america-new-york	5	4.5	613 W 155th Street	Manhattan	10032	613 W 155th Street, Manhattan 10032	(212) 926-2234	http://www.hispanicsociety.org		0		50	1300-1600	1000-1630	1000-1630	1000-1630	1000-1630	1000-1630	1000-1630								Yes	40.833521	-73.9465139
Dyckman House Museum	http://en.wikipedia.org/wiki/Dyckman_House_Museum	http://yelp.com/biz/dyckman-farmhouse-museum-new-york	5	4	4881 Broadway	Manhattan	10034	4881 Broadway, Manhattan 10034	(212) 304-9422	http://www.dyckmanfarmhouse.org/		1			1200-1600			1100-1600	1100-1600	1100-1600	1100-1600				http://www.facebook.com/pages/edit/?id=125644364175253&sk=basic#!/pages/Dyckman-Farmhouse-Museum/125644364175253			http://www.flickr.com/photos/dyckmanfarmhouse/with/5360593783/		40.8670579	-73.9230983
New York Public Library	http://en.wikipedia.org/wiki/New_York_Public_Library	http://yelp.com/biz/new-york-public-library-new-york-48	76	4.5	Fifth Avenue at 42nd Street	Manhattan	10018		(917) 275-6975	http://www.nypl.org/locations/schwarzman		0		40	1300-1700	1000-1800	1000-2000	1000-2000	1000-1800	1000-1800	1000-1800			http://twitter.com/nypl	http://www.facebook.com/newyorkpubliclibrary	http://www.youtube.com/profile?user=NewYorkPublicLibrary	http://www.nypl.org/node/62500	http://www.flickr.com/photos/nypl/	Yes	40.753675	-73.98104
Society of Illustrators	http://en.wikipedia.org/wiki/Society_of_Illustrators	http://yelp.com/biz/society-of-illustrators-inc-new-york	3	3.5	128 East 63rd Street	Manhattan	10065		(212) 838-2560	http://www.societyillustrators.org/		0		250			1000-2000	1000-1700	1000-1700	1000-1700	1200-1600			http://twitter.com/SOI128	http://www.facebook.com/group.php?gid=35600204291&ref=ts					40.765052	-73.967034
Ellis Island Immigration Museum	http://en.wikipedia.org/wiki/Ellis_Island	http://yelp.com/biz/ellis-island-immigration-museum-new-york	82	4.5	Ellis Island	Manhattan	10004	Ellis Island, Manhattan 10004	(212) 363-6307	http://www.ellisisland.org/genealogy/ellis_island_visiting.asp		13		45	0900-1715	0900-1715	0900-1715	0900-1715	0900-1715	0900-1715	0900-1715			http://www.twitter.com/ellisisland	http://www.facebook.com/pages/The-Statue-of-Liberty-Ellis-Island-Foundation-Inc/116541691900					40.6994721	-74.0395596
Art in General	http://en.wikipedia.org/wiki/Art_in_General	http://yelp.com/biz/art-in-general-new-york			79 Walker Street	Manhattan	10013	79 Walker Street, Manhattan 10013	(212) 219-0473	http://www.artingeneral.org/		0		500			1200-1800	1200-1800	1200-1800	1200-1800	1200-1800			http://twitter.com/ArtinGeneral	http://www.facebook.com/artingeneral		http://blog.artingeneral.org/	http://www.flickr.com/photos/artingeneral/		40.7261161	-74.0173873
Children's Museum of the Arts	http://en.wikipedia.org/wiki/Children%27s_Museum_of_the_Arts	http://yelp.com/biz/childrens-museum-of-the-arts-new-york	9	3.5	182 Lafayette St.	Manhattan	10013	182 Lafayette St., Manhattan 10013	(212) 274-0986	http://www.cmany.org		10	4:1200-1800	250	1200-1700			1200-1700	1200-1800	1200-1700	1200-1700				http://www.facebook.com/pages/New-York-NY/Childrens-Museum-of-the-Arts/115735125296?ref=ts		http://blog.cmany.org/			40.7261161	-74.0173873
